ID,Price,Condition,Brand,Model,Edition,Operating System,Memory,Network,SIM Support,RAM,No. of Camera,Screen Size,Battery,Processor,Item type,Features,Description
763,43000,Used,Apple,iPhone 12,,,128 GB,4G,Single SIM,,Dual,,,,,"Flash Charging, Bluetooth, Wifi",iPhone 12 128GB | Sim Not working | Battery health 100 | Face ID Issue
764,90000,Used,Apple,iPhone 12 Pro Max,Apple,iOS,256 GB,5G,Single SIM,6 GB,Triple,5.1 to 6 inches,5000 mAh,Snapdragon,,"USB Type-C Port, Fast Charging, Bluetooth, Wifi, GPS",No any errors | Good condition | Face id 💯 | bypass | But all working 💯 | All original parts
765,125000,Used,Apple,iPhone 12 Pro Max,256GB,iOS,256 GB,VoLTE,Single SIM,6 GB,Triple,Above 6 inches,4000 mAh,,,"Fast Charging, Bluetooth, Wifi, GPS",iPhone 12 Pro Max | •XA Region / 256GB | •Pacific Blue color | •Original Charging Cable | •Original Battery Health 81% | •Full set with Same Emei Box | •All the sensors are working perfectly | •Original LITO Cam Rings & Temped Glass | •5 More Back Covers also have | •In a Mint condition
766,36500,Used,Apple,iPhone 11,,,,,,,,,,,,,🍎 Apple iPhone 11 – 64GB 🍎 | 📱 iPhone 11 | 💾 64GB Storage | 🔋 Battery Health: 96% | 📱Display Replacements Genuine Apple part | ⌚️📱touch perfect 💯 | 🔐 Face ID: issue | 🎨 True Tone: 💯 | 🛠️ All parts genuine | ❌ No hidden errors | 📦 Genuine used unit | 🎨 Color: Black ⚫️ | ✅ Very neat & fully functional | ✅ Smooth performance | ✅ Ready to use | 💰 Price is slightly negotiable for serious buyers | 📩 Feel free to DM for more details or pictures
767,13000,Used,Apple,iPhone 7,,iOS,128 GB,4G,Single SIM,,Dual,4 to 5 inches,5000 mAh,,,"Fast Charging, Expandable Memory, Bluetooth, Wifi, GPS, Fingerprint Sensor",I Phone 7 | 128Gb | 73BH | 2Back Cover Free | Wifi Only | වෙන කිසිම අවුලක් නෑ | Samsung Galaxy A05 Ex Ok
768,13500,Used,Apple,iPhone 7,,iOS,128 GB,4G,Single SIM,4 GB,,,4000 mAh,,,,Finger & home button not work | 128GB | All apps working 100% | Exchange possible | Location- kattankudy
769,88000,Used,Apple,iPhone 11 Pro,,iOS,256 GB,4G,Dual SIM,4 GB,Triple,,,,,"Fast Charging, Bluetooth, Wifi, GPS","📱 iPhone 11 Pro – 256GB – Excellent Condition | 🔹 Model: iPhone 11 Pro | 🔹 Storage: 256GB | 🔹 Battery Health: 92% 🔋 | 🔹 Condition: Very good / Carefully used | 🔹 Face ID: Working perfectly | 🔹 Camera: Triple 12MP Camera (Ultra Wide, Wide & Telephoto) – Excellent quality 📸 | 🔹 Display: 5.8” Super Retina XDR OLED | 🔹 No hidden issues | (Note : physical dual sim ) | 💰 Price: can be negotiate | 📍 Location: Kuliyapitiya | Serious buyers only. | DM or call for more details"
770,23500,Used,Apple,iPhone 7 Plus,,iOS,128 GB,4G,Single SIM,,,,,,,,Condition 💯 | Battery health 90 | Storage 128 | All working perfectly | Ex possible for iphones | Cash krnawanan adu karala denawa
771,40000,Used,Apple,iPhone XR,128GB,iOS,128 GB,4G,Dual SIM,4 GB,,5.1 to 6 inches,,,,"Fast Charging, Expandable Memory, Bluetooth, Wifi, GPS",iPhone XR 128gb | Battery health 82% | Phone only | Cable can be given | Exchange okay with higher model (extra cash given)
772,120000,Used,Apple,iPhone 14,128GB,iOS,128 GB,4G,,,Dual,,,,,,Good condition ✅ | Same ime box ✅ | 2 weeks warrnty ✅
773,21500,Used,Apple,iPhone 8,,iOS,64 GB,4G,,4 GB,,,,,,,"Iphone 8 | 64gb | Glass line have..full temperd ekk ghuwhm penne na | Wena awl na ..brand new condition | Price-21,500 | Adu kral denwa"
774,55000,Used,Apple,iPhone 12 mini,iPhone 12 mini 64GB,iOS,64 GB,5G,Single SIM,6 GB,Dual,,4000 mAh,,,"Fast Charging, Flash Charging, Expandable Memory, Bluetooth, Wifi, GPS, Fingerprint Sensor",12 mini | All parts original | Condition 75% | 64Gb | Battery h 74%
775,35000,Brand New,Apple,,,,,,,,,,,,LCD / AMOLED Displays,,***Unique World - Gampaha** | Visit Us:- www.Uniqueworld.lk | 💳  Cash Payments & Bank Transfers are Accepted. | 🛵 🚚 Delivery can be arranged terms and conditions apply. | Apple iPhone 16 Display | Free True Tone Program | Free Fixing | Same As Original | All iPhone parts | All Original parts | Fast service | 9 years iPhone repair experience | ***Unique World Gampaha***
776,205000,Used,Apple,iPhone 15 Pro Max,,iOS,256 GB,,,,,,,,,,Iphone 15 pro max | no any issue | or replacements | full set box | money urgent | Last price mentioned
777,74000,Used,Apple,iPhone 12,IPhone 12,,128 GB,VoLTE,Dual VoLTE,,,,,,,,IPhone 12 phone akh hodtm tiynwa
778,25000,Used,Apple,iPhone SE 2,64GB,iOS,,,Single SIM,,,,,,,,For Sale. | Phone Only. | Battery replace. | Original display
779,65000,Used,Apple,iPhone 13,,iOS,128 GB,5G,Dual SIM,4 GB,Dual,Above 6 inches,4000 mAh,,,"Fast Charging, Bluetooth, Wifi, GPS, Fingerprint Sensor",Display | Battery replace only | Old Display have
